Assets/_Temp/FrontUI.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Dark03_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Fire01_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Fire02_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Ice01_3sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Ice01_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Ice02_3sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Ice02_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Ice03_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Lightning01_1shot.prefab: nativeWidgets=0; missingScripts=1
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Lightning02_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Lightning03_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Line01_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Line02_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Line03_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Line03_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_HitFX_Dark_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_HitFX_Fire_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_HitFX_Ice_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_HitFX_Lightning_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_HitFX_Normal01_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_LightDustFX_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_LightDustFX_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_LineSphereFX_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/Scene/FTME03_SampleScene.unity: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_00_loop.prefab: nativeWidgets=0; missingScripts=4
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_00_oneShot.prefab: nativeWidgets=0; missingScripts=4
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_01_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_01_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_02_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_02_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_03_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_03_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_04_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_04_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_05_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_05_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_06_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_06_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_07_loop.prefab: nativeWidgets=0; missingScripts=3
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_07_oneShot.prefab: nativeWidgets=0; missingScripts=3
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_08_loop.prefab: nativeWidgets=0; missingScripts=3
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_08_oneShot.prefab: nativeWidgets=0; missingScripts=3
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_09_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_09_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Scenes/FireWorks_Effects_Sample1.unity: nativeWidgets=0; missingScripts=24
Assets/MainGame/AssetStore/ShockWave Effect/Scenes/Demo.unity: nativeWidgets=0; missingScripts=0
Assets/MainGame/PVP_Tester/Scene/Disconnect.unity: nativeWidgets=2; missingScripts=0
Assets/MainGame/PVP_Tester/Scene/Login.unity: nativeWidgets=105; missingScripts=3
Assets/MainGame/PVP_Tester/Scene/MusicManager.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/PVP_Tester/Scene/SoundManager.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/Scene/BallPlay.unity: nativeWidgets=1902; missingScripts=0
Assets/MainGame/Scene/MainLoading.unity: nativeWidgets=11; missingScripts=0
Assets/MainGame/Scene/Scene1.unity: nativeWidgets=10; missingScripts=0
Assets/MainGame/Scene/TestScele/BallPlay_Temp.unity: nativeWidgets=0; missingScripts=0
Assets/MainGame/Scene/TestScele/controlUI.unity: nativeWidgets=445; missingScripts=5
Assets/MainGame/Scene/TestScele/Ingame.unity: nativeWidgets=0; missingScripts=0
Assets/MainGame/Scene/TestScele/skillDisplayBallPlay.unity: nativeWidgets=1902; missingScripts=0
Assets/MainGame/Scene/TestScele/skillDisplayLoading.unity: nativeWidgets=11; missingScripts=0
Assets/MainGame/Scene/TestScele/testScene2.unity: nativeWidgets=610; missingScripts=11
Assets/MainGame/SpriteCollection/Control/Atlas/ControlUICol Data/ControlUICol.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Control/Atlas/ControlUICol.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/MainGameUI/MainGameUIAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/openingEvent/openUIAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/ResultUI/ResultUIAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/ChampionsField/champfieldCol/champFieldCol1 Data/champFieldCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/ChampionsField/champfieldCol/champFieldCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/ChampionsField/champfieldCol/champFieldCol2 Data/champFieldCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/ChampionsField/champfieldCol/champFieldCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Gochuck/gochuckCol/gochuckCol1 Data/gochuckCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Gochuck/gochuckCol/gochuckCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Gochuck/gochuckCol/gochuckCol2 Data/gochuckCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Gochuck/gochuckCol/gochuckCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Hanhwa/hanhwaCol/hanhwaCol1 Data/hanhwaCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Hanhwa/hanhwaCol/hanhwaCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Hanhwa/hanhwaCol/hanhwaCol2 Data/hanhwaCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Hanhwa/hanhwaCol/hanhwaCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/HappyDream/HappyDreamCol/HappyDreamCol1 Data/HappyDreamCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/HappyDream/HappyDreamCol/HappyDreamCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/HappyDream/HappyDreamCol/HappyDreamCol2 Data/HappyDreamCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/HappyDream/HappyDreamCol/HappyDreamCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Jamsil/jamsilCol/jamsilCol1 Data/jamsilCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Jamsil/jamsilCol/jamsilCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Jamsil/jamsilCol/jamsilCol2 Data/jamsilCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/Jamsil/jamsilCol/jamsilCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/LionsPark/LionsParkCol/LionsParkCol1 Data/LionsParkCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/LionsPark/LionsParkCol/LionsParkCol1.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/LionsPark/LionsParkCol/LionsParkCol2 Data/LionsParkCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/SpriteCollection/Stadium/LionsPark/LionsParkCol/LionsParkCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/UI/FieldMinimapUGUI/FieldMinimap.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/UI/FieldMinimapUGUI/FieldOutCount.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/UI/FieldMinimapUGUI/MinimapRunner.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/UI/PitchSelectionUGUI/PitchSelection.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/UI/RunnerControlUGUI/RunnerControl.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/UI/ScoreboardUGUI/ScoreboardDisplay.prefab: nativeWidgets=0; missingScripts=0
Assets/Plugins/Demigiant/DOTweenPro Examples/DOTweenAnimation_Advanced.unity: nativeWidgets=0; missingScripts=0
Assets/Plugins/Demigiant/DOTweenPro Examples/DOTweenAnimation_Basics.unity: nativeWidgets=0; missingScripts=0
Assets/Plugins/Demigiant/DOTweenPro Examples/DOTweenPath.unity: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/AtlasManager.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/BannerAtlas/BannerAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/ButtonLightAtlas/ButtonAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/Card/PlayerCardAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/CharacterAtlas/CharacterAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/EffectAtlas/EffectAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/FontAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/GearAtlas/GearAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/IntroAtlas/IntroAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/ItemAtlas/ItemAtlas.prefab: nativeWidgets=0; missingScripts=0
